Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Physical limitation,Tags
Wall Push ups,All Ages,All,Strength,Upper,Bodyweight,Beginner,3,8-12,2-3,45-60 sec,Improves chest and triceps strength and enhances shoulder stability,"1. Stand facing a wall and place hands on the wall at shoulder height and shoulder-width apart.
2. Step your feet back so your body forms a straight line from head to heels.
3. Bend your elbows and lean your chest toward the wall while keeping your core tight.
4. Push through your hands to straighten your arms and return to the starting position.",Keep core braced and spine neutral while lowering with control,3,,Acute shoulder pain,Main workout
Seated Chest Press (Hands),60+,All,Strength,Upper,Bodyweight,Beginner,3,15-10,1-2,30-45 sec,Builds pressing strength and supports daily upper body tasks,"1. Sit upright on the floor with knees bent and feet flat.
2. Bring your palms together in front of your chest with elbows out.
3. Press your palms firmly together and squeeze your chest.",Sit tall with shoulders down and press with a controlled tempo,2.5,,Acute shoulder pain,Main workout
Incline Wall Push-Up,All Ages,All,Strength,Upper,Bodyweight,Beginner,3,12-8,4-3,60-90 sec,Increases upper body strength with reduced load for progressive training,"1. Stand facing a wall and place hands on the wall slightly below shoulder height and shoulder-width apart.
2. Step your feet back to create a straight angled line from head to heels.
3. Lower your chest toward the wall by bending your elbows while keeping a rigid core.
4. Push through your hands to extend your arms and return to the angled starting position.",Maintain a straight line from head to heels and descend slowly from the shoulders,3.5,,Acute shoulder pain,Main workout
Standing Isometric Chest Squeeze,All Ages,All,Strength,Upper,Bodyweight,Beginner,3,12-10,3-2,30-45 sec,Enhances chest muscle activation and improves muscular endurance,"1. Stand tall with feet hip-width apart and knees soft.
2. Bring palms together in front of your chest with elbows pointing out.
3. Press your palms firmly together and engage your chest muscles.
4. Hold the squeeze for the chosen duration while keeping steady pressure.",Keep elbows level and ribs lowered while maintaining steady breathing,2,"Hypertension, Coronary Artery Disease",Acute shoulder pain,Main workout
Wall Shoulder Raise Hold,60+,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,3,10-20 sec,7-6,30-45 sec,Improves shoulder stability and builds endurance in rotator cuff and deltoids,"1. Stand facing a wall at an arm's length with feet hip-width apart.
2. Place palms flat on the wall at waist level and shoulder-width apart.
3. Slide your hands up the wall until they reach shoulder height with arms straight.
4. Hold the position with shoulders down and body aligned.",Keep neck long and shoulders down while holding the raise,2,"Hypertension, Coronary Artery Disease",Acute shoulder pain,Main workout
Standing Arm Circles (Small Range),All Ages,All,Activation/Mobility,Upper,Bodyweight,Beginner,3,20-30,7-6,30-45 sec,Promotes shoulder mobility and increases joint circulation,"1. Stand tall with feet hip-width apart and arms extended to the sides at shoulder height.
2. Slightly bend your elbows and keep your hands relaxed with palms facing down.
3. Make small, controlled circular motions with both arms in one direction for the chosen time or reps.",Move from the shoulders with small controlled circles and avoid torso sway,4,,Acute shoulder pain,Warmup
Seated Row Pull (Isometric),60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,3,12-8,8-7,45-60 sec,Strengthens upper back muscles and supports improved posture,"1. Sit on the floor with knees bent, feet flat, and torso upright, arms extended forward at chest height.
2. Pull elbows back beside your ribs and squeeze your shoulder blades together as if rowing.
3. Hold the contracted position without leaning back and keep the core engaged.
4. Release slowly to the starting position or relax the hold if finished.","Sit tall, pull shoulder blades back and hold without shrugging",5,"Hypertension, Coronary Artery Disease",Poor posture (rounded shoulders / forward head),Main workout
Wall Plank Shoulder Taps (Static Feet),40-59,Weight Loss,Balance & Stability,Core,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Engages core and shoulder stabilizers to enhance whole body coordination,"1. Stand facing a wall and place hands on the wall at shoulder height and shoulder-width apart.
2. Step feet back into a straight plank line and keep your feet planted and hips level.
3. Lift one hand to tap the opposite shoulder, then return it to the wall.
4. Repeat the opposite tap while avoiding any side-to-side rocking of the hips.",Brace the core and keep hips level to minimize rotation while tapping,5,"Hypertension, Coronary Artery Disease",Reduced core stability,Main workout
Marching in Place (Low Lift),40-59,Weight Loss,Cardio,Lower,Bodyweight,Beginner,3,40-60,7-6,30-45 sec,Boosts lower limb circulation and promotes basic aerobic activity,"1. Stand tall with feet hip-width apart and arms relaxed at your sides.
2. Lift one knee a few inches forward without leaning the torso and place the foot back down.
3. Alternate lifting the other knee at a controlled, low height while swinging the opposite arm.","Maintain upright posture and lift knees with controlled, gentle motion",4,,Limited single-leg balance,
Seated Marching,60+,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,3,20-30,7-6,30-45 sec,Improves hip flexor activation and supports gentle cardiovascular movement,"1. Sit tall near the front of a stable chair with feet flat and hands on your thighs.
2. Lift your right knee toward your chest while keeping your back straight.
3. Lower the right foot and lift your left knee in the same way.
4. Continue alternating knees in a steady marching rhythm.","Sit tall, engage the core and lift each knee with control",5,,Reduced core stability,
