,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value
1,Standard Bodyweight Squat,All Ages,Weight Maintenance,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Builds lower body strength and improves functional movement,"1. Stand feet shoulder-width apart with toes slightly turned out.
2. Push hips back and bend knees to lower into a squat.
3. Keep chest up and weight on your heels.
4. Drive through your heels to stand and squeeze your glutes.",Brace your core and sit back into your heels keeping chest lifted,4.5
2,Alternating Forward Lunges,All Ages,Weight Maintenance,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Enhances single-leg strength and balance during stepping movements,"1. Stand tall and step one foot forward.
2. Lower hips until the front knee bends to about 90° and the back knee nears the floor.
3. Push through the front heel to return to standing.
4. Repeat the movement with the opposite leg.",Keep torso upright and let your front knee track over the ankle,4.8
3,Jumping Jacks,All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,30–60,6–7,30–45 sec,Increases heart rate and whole-body coordination,"1. Stand tall with feet together and arms at your sides.
2. Jump feet apart while raising your arms overhead.
3. Jump feet back together while lowering your arms to your sides.",Land softly with bent knees and control each jump and landing,6.5
4,Mountain Climbers,All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,20–40,7–9,30–60 sec,Boosts core activation and shoulder endurance,"1. Start in a high plank with hands under your shoulders.
2. Drive one knee toward your chest while keeping hips level.
3. Quickly switch legs by bringing the opposite knee forward.
4. Maintain a steady, fast rhythm and keep your core engaged.",Hold a strong plank line and drive knees forward without dropping hips,7
5,Stair Climbing (Fast),All Ages,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,45–60,7–9,60–90 sec,Improves cardiovascular fitness and lower limb power,"1. Stand at the base of the stairs facing up.
2. Step up quickly onto the first step with one foot.
3. Drive the other knee up and bring the trailing foot to the next step.
4. Continue ascending the stairs at a brisk, continuous pace.",Push through the full foot and keep an upright torso as you climb quickly,8.5
6,Kneeling Quad Stretch,60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,30–60,6–7,30–60 sec,Enhances quadriceps flexibility and hip extension range,"1. Kneel on one knee with the other foot planted in front.
2. Reach back and grasp the ankle of the kneeling leg.
3. Pull the ankle toward your glutes while keeping hips square.",Square your hips and gently tuck the pelvis while keeping chest tall,2.5
7,Side-to-Side Shuffles,60+,Weight Maintenance,Cardio,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,20–40,6–8,30–45 sec,Develops lateral agility and quickness for directional changes,"1. Stand low in an athletic stance with knees bent.
2. Push off one foot and shuffle laterally to the other side.
3. Keep your center of gravity low and take quick, controlled steps.
4. Reverse direction and continue shuffling side to side.",Stay low in an athletic stance and push off laterally from the outside foot,6
8,High Knees (Jogging),40–59,Weight loss,Cardio,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,30–60,6–8,30–60 sec,Elevates heart rate while reinforcing hip flexor and core coordination,"1. Stand tall and begin jogging in place.
2. Drive one knee up toward your chest while pumping the opposite arm.
3. Continue alternating knees rapidly at a brisk pace.","Run tall, drive knees up with controlled foot strikes on the balls of your feet",7
9,Standing Quad Stretch,60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,30–60,6–7,30–60 sec,Improves quadriceps flexibility and standing postural alignment,"1. Stand tall and balance on one foot.
2. Bend the other knee and grab the ankle behind you.
3. Pull the ankle toward your glutes while keeping knees close together.","Stand tall, pull your heel toward your glute, and keep knees close together",2.5
10,Deep Curtsy Lunges,40–59,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–9,60–90 sec,Targets glute and inner thigh strength with improved balance,"1. Stand tall and step one leg diagonally behind you into a curtsy.
2. Lower your body until the front thigh is roughly parallel to the floor.
3. Keep your chest upright and press weight through the front heel.
4. Push back to standing and repeat on the other side.",Step diagonally back with control and keep the front knee aligned over the toes,4.8
11,Duck Walks,40–59,Weight gain,Mobility,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,10–20,6–7,30–60 sec,Improves hip and ankle mobility and lower body muscular endurance,"1. Lower into a low squat with feet flat and chest up.
2. Hold the squat and step one foot forward a small distance.
3. Bring the other foot forward to follow and continue moving.
4. Maintain a low hip position and take short, controlled steps.",Stay low with chest up and knees tracking over toes,4.5
