Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for
Wall Push-Up,All Ages,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,Knee pain (general / chronic),3,8–12,6–7,45–60 sec,Improves chest and triceps strength and enhances shoulder stability,"1. Stand facing the wall with feet hip-width apart and arms extended.
2. Place hands on the wall at shoulder height and shoulder-width apart.
3. Bend elbows and lean chest toward the wall.
4. Push back to the starting position.",Keep core braced and spine neutral while lowering with control,3,None
Seated Chest Press (Hands),60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,Knee pain (general / chronic),3,10–15,6–8,60–90 sec,Builds pressing strength and supports daily upper body tasks,"1. Sit upright with feet flat and knees at 90 degrees.
2. Bring palms together in front of the chest with elbows bent.
3. Press palms firmly together and hold, then release.",Sit tall with shoulders down and press with a controlled tempo,2.8,None
Incline Wall Push-Up,40–59,Weight Loss,Strength,Upper,Bodyweight,Beginner,Knee pain (general / chronic),3,8–12,6–8,60–90 sec,Increases upper body strength with reduced load for progressive training,"1. Stand facing a raised surface like a countertop.
2. Place hands on the edge at shoulder-width and step back slightly.
3. Bend elbows and lower your chest toward the surface.
4. Push back to the starting position.",Maintain a straight line from head to heels and descend slowly from the shoulders,3.5,None
Standing Isometric Chest Squeeze,All Ages,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,Knee pain (general / chronic),3,10–12,7–8,30–45 sec,Enhances chest muscle activation and improves muscular endurance,"1. Stand tall with feet hip-width apart and knees soft.
2. Bring palms together at chest level with elbows out.
3. Press palms inward to create tension and hold.",Keep elbows level and ribs lowered while maintaining steady breathing,2.5,"Hypertension, Coronary Artery Disease"
Wall Shoulder Raise Hold,40–59,Weight Loss,Strength,Upper,Bodyweight,Beginner,Knee pain (general / chronic),3,8–10,6–7,30–45 sec,Improves shoulder stability and builds endurance in rotator cuff and deltoids,"1. Stand with your back against a wall and feet a few inches away.
2. Press your lower back and shoulders gently into the wall.
3. Slide your arms up the wall to shoulder height.
4. Hold that raised position and then slide arms down.",Keep neck long and shoulders down while holding the raise,2,"Hypertension, Coronary Artery Disease"
Standing Arm Circles (Small Range),All Ages,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,Knee pain (general / chronic),3,20–30,6–7,30–45 sec,Promotes shoulder mobility and increases joint circulation,"1. Stand tall with feet hip-width apart and arms at your sides.
2. Extend both arms out to shoulder height with palms down.
3. Make small controlled circles forward.
4. Reverse and make small controlled circles backward.",Move from the shoulders with small controlled circles and avoid torso sway,4,None
Seated Row Pull (Isometric),60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,Knee pain (general / chronic),3,8–12,7–8,45–60 sec,Strengthens upper back muscles and supports improved posture,"1. Sit upright with feet flat and knees bent.
2. Hold a band or towel with both hands in front of you at chest height.
3. Pull elbows back and squeeze shoulder blades while keeping the torso stable.
4. Hold the pulled position and then release slowly.","Sit tall, pull shoulder blades back and hold without shrugging",5,"Hypertension, Coronary Artery Disease"
Wall Plank Shoulder Taps (Static Feet),40–59,Weight Loss,Strength,Core,Bodyweight,Beginner,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Engages core and shoulder stabilizers to enhance whole body coordination,"1. Stand facing a wall and place hands on the wall at shoulder height.
2. Step feet back so your body forms a straight plank angle with feet fixed.
3. Lift your right hand and tap your left shoulder, then return it.
4. Lift your left hand and tap your right shoulder, then return it.",Brace the core and keep hips level to minimize rotation while tapping,5,"Hypertension, Coronary Artery Disease"
Marching in Place (Low Lift),40–59,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,40–60,6–7,30–45 sec,Boosts lower limb circulation and promotes basic aerobic activity,"1. Stand tall with feet hip-width apart and arms relaxed.
2. Lift one knee a low distance toward your hip.
3. Lower that foot and alternate lifting the other knee in a steady march.","Maintain upright posture and lift knees with controlled, gentle motion",4,None
Seated Marching,60+,Weight Maintenance,Cardio,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,20–30,6–7,30–45 sec,Improves hip flexor activation and supports gentle cardiovascular movement,"1. Sit upright near the edge of a chair with feet flat.
2. Lift one knee a small distance while keeping the torso stable.
3. Lower that foot and alternate lifting the other knee in a marching rhythm.","Sit tall, engage the core and lift each knee with control",5,None
Standing Weight Shift,All Ages,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,10–15,6–7,30–45 sec,Improves balance and weight transfer control in standing,"1. Stand tall with feet hip-width apart.
2. Shift your weight to the right foot and lift the left heel slightly.
3. Return to center and shift weight to the left foot.",Keep core braced and shift weight over the standing foot,4,None
Side-to-Side Toe Taps,40–59,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,12–20,6–8,30–60 sec,Enhances lateral coordination and ankle activation,"1. Stand with feet together and knees soft.
2. Tap the right toe out to the right side while keeping weight on the left foot.
3. Return to center.
4. Tap the left toe out to the left side while keeping weight on the right foot.",Tap toes side-to-side with controlled movement,3,None
Seated Arm + Leg March,60+,Weight Gain,Cardio,Full,Bodyweight,Beginner,Knee pain (general / chronic),3,20–30,6–7,30–45 sec,Promotes coordinated limb movement and light cardiovascular activation,"1. Sit tall near the front of a chair with feet flat.
2. Lift the right knee and pump the left arm forward.
3. Lower both to the starting position.
4. Alternate by lifting the left knee and pumping the right arm.",Sit tall and lift arms and legs smoothly with controlled motion,2.8,None
Standing Arm Swings,All Ages,Weight Maintenance,Cardio,Upper,Bodyweight,Beginner,Knee pain (general / chronic),2,12–15,6–7,30–45 sec,Increases shoulder mobility and gentle upper body movement,"1. Stand tall with feet hip-width apart.
2. Swing both arms forward and up to shoulder height.
3. Swing both arms back and down with a gentle bend.",Swing arms with control while maintaining a slight hip hinge,2.3,None
Seated Punches (Light),60+,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Knee pain (general / chronic),2,15–20,6–7,30–45 sec,Improves upper body coordination and promotes light aerobic effort,"1. Sit tall with hands near your chest.
2. Extend the right arm forward in a controlled light punch.
3. Retract the right hand to the chest.
4. Repeat the same motion with the left arm.",Punch lightly while keeping shoulders down,2.2,None
Slow Step-Back Tap,40–59,Weight Maintenance,Cardio,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,8–12,7–8,45–60 sec,Encourages hip extension control and safe backward stepping practice,"1. Stand tall with feet hip-width apart.
2. Step the right foot back and lightly tap the heel on the floor.
3. Step the right foot forward to the start and repeat with the left foot.",Step back slowly and keep weight balanced over the front foot,2,None
Standing Knee Extension Pulse,All Ages,Weight Gain,Cardio,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,10–15,6–8,30–45 sec,Strengthens quadriceps activation and promotes knee joint stability,"1. Stand behind a chair and hold the backrest for balance.
2. Extend the right knee forward until the leg is nearly straight.
3. Pulse the right leg with small movements and then switch legs.",Keep the standing leg stable and extend the knee in small controlled pulses,2.8,None
Seated Torso Twist (Small Range),60+,Weight Maintenance,Cardio,Core,Bodyweight,Beginner,Knee pain (general / chronic),2,10–15,6–7,30–45 sec,Maintains spinal mobility and improves trunk rotation awareness,"1. Sit tall with feet flat and hands on your thighs.
2. Rotate your torso gently to the right keeping hips square.
3. Return to center and rotate gently to the left.",Sit tall and twist only from the ribs within a small range,2.3,None
Ankle Circles,All Ages,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,10–20,6–7,30–45 sec,Enhances ankle range of motion and circulation around the foot,"1. Sit or stand with one foot slightly lifted off the ground.
2. Rotate the lifted ankle clockwise in a controlled circle.
3. Reverse the rotation counterclockwise and switch feet.",Rotate the ankle slowly with relaxed toes,4,None
